Recourse,Type,Topic,Subtopic,Link,Observation,
,,Desafios,CodeWars,https://www.codewars.com/,,
,,Machine Learning,Feature Selection,https://www.youtube.com/watch?v=Bcn5e7LYMhg,,
,,Machine Learning,,https://www.linkedin.com/posts/machine-learning-mastery_framework-for-data-preparation-techniques-activity-6688158104410038272-zlEC,,
,,Desafios,HackerRank,https://www.hackerrank.com/,,
,,Data Science,,https://dadosaocubo.com/parceiro-de-publicacao-d3/,,
,,,,,,
,,Data Science,Vagas,https://br.ciandt.com/carreiras/programa-de-estagio-next-gen?utm_source=whatsapp&utm_medium=referral&utm_term=&utm_content=&utm_campaign=nextgen,CI&T,
,,Eventos,Data Science,https://conteudos.napratica.org.br/conexao/?utm_campaign=conexao&utm_medium=email&utm_source=rd_atracao#4-contratacao&utm_content=cta-bt1,,
,,Data Science,Carreira,https://www.youtube.com/watch?v=CHKw-zUeJA8,,
,,Eventos,Hackathon Covid 24-27 july,https://hackmakers.com/,,
,,Eventos,Maratona behind the code IBM,https://ibm.biz/Bdq8aT,,
,,Canais,Professor Guru,,,
,,Canais,Cassie Kozyrkov,https://www.linkedin.com/in/cassie-kozyrkov-9531919/,,
,,Canais,Cassie Kozyrkov,https://towardsdatascience.com/@kozyrkov,,
,,Canais,Cassie Kozyrkov,https://towardsdatascience.com/statistician-proves-that-statistics-are-boring-4fc22c95031b,,
,,Canais,Cassie Kozyrkov,https://hackernoon.com/explaining-p-values-with-puppies-af63d68005d0,,
,,Gravar vídeos,OBS Studio,,,
,,Data Science,xp,https://www.youtube.com/watch?v=yQvUU2YPPy4,,
,,Data Science,certifications 2020,https://towardsdatascience.com/top-9-data-science-certifications-in-2020-40b0192ade43,,
,,Machine Learning,Livro,https://mlbook.explained.ai/,,
,,Machine Learning,Livro,https://www.dropbox.com/s/e38nil1dnl7481q/machine_learning.pdf?dl=0,,
,,Deep learning,livro,https://www.deeplearningbook.org/,,
,,Data Science,Utils,https://www.notion.so/The-Best-Artificial-Intelligence-Machine-Learning-and-Data-Science-Resources-b3b97fa097b747698e87fd3badc657cf,,
,,Data Science,Produção,https://medium.com/analytics-and-data/overview-of-the-different-approaches-to-putting-machinelearning-ml-models-in-production-c699b34abf86,,
,,Data Science,Produção,https://www.youtube.com/watch?v=TZrzYQVxJEg,,
,,Data Science,Produção,https://vicki.substack.com/p/big-recsys-redux-recs-at-netflix,,
,,Data Science,Produção,https://www.youtube.com/channel/UCar5Cr-pVz08GY_6I3RX9bA,,
,,Estatística,Não paramétrica,https://pt.coursera.org/learn/estatistica-nao-parametrica,USP - decisão com pequenas amostras,
,,Machine Learning,Estatística,https://machinelearningmastery.com/statistics-for-machine-learning-mini-course/,,
,,Estatística,Galton Board,https://www.youtube.com/watch?v=UCmPmkHqHXk,,
,,Medium,,https://medium.com/@jangelojr/identification-of-the-ideal-number-of-clusters-5182b832ebcd,,
,,Canal IA,Felipe Deschamps,https://youtu.be/KdgKQoq1jk0,,
,,Python,,https://panda.ime.usp.br/pensepy/static/pensepy/index.html,,
,,Python,Code style,https://towardsdatascience.com/best-python-practices-for-data-scientists-11056edda8c7,,
,,Python,Code style,https://www.python.org/dev/peps/pep-0008/,,
,,Python,Code style,https://jupyter-contrib-nbextensions.readthedocs.io/en/latest/nbextensions/code_prettify/README_autopep8.html,,
,,Estatística,Normal,https://towardsdatascience.com/exploring-normal-distribution-with-jupyter-notebook-3645ec2d83f8,,
,,ML Summer School 2020,,http://mlss.tuebingen.mpg.de/2020/schedule.html,,
,,Visualization,Dark,https://paulozip.github.io/dark_characters_network/,,
,,Python for beginners,,https://www.youtube.com/watch?v=rfscVS0vtbw,,
,,Spark,,https://www.databricks.training/learn-from-home/index.html,,
,,Mapas mentais,,mindmeister.com,,
,,Ciência,Livro,Antônio Carlos Gil. Como elaborar projetos de pesquisa. 4ed 2002.,,
,,Python,List Comprehension,https://codenation.dev/private-journey/ds-online-2/challenge/manipulando-dados-iv,,
,,PowerShell,Python,https://programminghistorian.org/en/lessons/intro-to-powershell#using-command-line-tools-and-running-python-scripts,,
