Recourse,Type,Topic,Subtopic,Link,Observation,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Github,,ENEM,,https://github.com/erickamorim/Ciencia-de-Dados/tree/master/Desafio_Notas_ENEM2016,,
Kaggle,,EDA,Comprehensive data exploration with Python,https://www.kaggle.com/pmarcelino/comprehensive-data-exploration-with-python,,
,,Pandas,Modern Pandas (Part 1),https://tomaugspurger.github.io/modern-1-intro.html,,
,,Pandas,Modern Pandas (Part 2): Method Chaining,https://tomaugspurger.github.io/method-chaining,,
,,Pandas,Modern Pandas (Part 3): Indexes,https://tomaugspurger.github.io/modern-3-indexes,,
,,Pandas,Modern Pandas (Part 4): Performance,https://tomaugspurger.github.io/modern-4-performance,,
,,Pandas,Modern Pandas (Part 5): Tidy Data,https://tomaugspurger.github.io/modern-5-tidy,,
,,Machine Learning,An introduction to machine learning with scikit-learn,https://scikit-learn.org/stable/tutorial/basic/tutorial.html,,
,,Machine Learning,Introduction to Linear Regression,http://onlinestatbook.com/2/regression/intro.html,,
Coursera,,Machine Learning,Model Representation,https://www.coursera.org/lecture/machine-learning/model-representation-db3jS,,
Coursera,,Machine Learning,Multiple Features,https://www.coursera.org/lecture/machine-learning/multiple-features-6Nj1q,,
,,Scikit Learn,How to run Linear regression in Python scikit-Learn,https://bigdata-madesimple.com/how-to-run-linear-regression-in-python-scikit-learn/,,
,,Desafios,Netflix competition,https://netflixtechblog.com/netflix-recommendations-beyond-the-5-stars-part-1-55838468f429,,
,,Streamlit,,https://www.youtube.com/watch?v=_9WiB2PDO7k,,
,,Streamlit,,https://discuss.streamlit.io/t/experimenting-with-the-layout-including-a-grid/895/3,,
,,Streamlit,app,https://www.linkedin.com/posts/julioz4p_juliozapaceleradevds-activity-6680569626729951232-NAyx,,
,,Streamlit,app,https://edastreamlit.herokuapp.com/,,
,,Streamlit,app,https://mytwitterdata.herokuapp.com/,Kamila Toyota,
,,Streamlit,app,https://www.youtube.com/watch?v=Cvcr_I27w8Q&t=1s,Kamila Toyota,
,,Streamlit,app,https://midoritoyota.netlify.app/,Kamila Toyota,
,,Streamlit,app,https://healthexpensespredictor.herokuapp.com/,Simone Perazzoli,
,,Streamlit,app,https://github.com/simoneperazzoli/pycaret-deployment-streamlit,Simone Perazzoli,
,,Streamlit,app,https://surviving-disaster.herokuapp.com/,Titanic,
,,Streamlit,app,https://pacific-crag-44117.herokuapp.com/,Covid,
,,Streamlit,app,https://github.com/BomfimThiago/Covid_streamlit_altair_python/blob/master/projeto.py,Covid,
,,Streamlit,app,https://github.com/glauciodrumond/airbnb-app,Airbnb,
,,Streamlit,app,https://www.linkedin.com/feed/update/urn:li:activity:6683503284419997696/,Bovespa,
,,Streamlit,app,https://www.linkedin.com/posts/germano-yoneda-66134516b_no-programa-de-acelera%C3%A7%C3%A3o-da-codenation-foi-ugcPost-6685347936236261376-SBTF,Bovespa,
,,Streamlit,app,https://bit.ly/aceleradev-semana-3,Disponibilização para Locação,
,,Streamlit,app,https://app-real-state.herokuapp.com/,Disponibilização para Locação,
